prompt,label
Je voudrais lister les graphiques brièvement,Image
Je souhaite synthétiser le contenu rapidement,Résumé
Je souhaite extraire les points clés brièvement,Résumé
Serait-il possible de indiquer le plan,Structure
Je souhaite me faire un résumé sans oublier les points clés,Résumé
Pourrais-tu donner les chiffres importants en quelques mots,Valeur
Je voudrais répondre à la question sur le projet en quelques mots,Question
Je voudrais indiquer l'auteur clairement,Question
Est-ce que tu peux expliquer la structure du document,Structure
Pourrais-tu récapituler le document en détail,Résumé
Merci de indiquer les montants,Valeur
Je voudrais expliquer les résultats en détail,Question
Je voudrais me dire qui est le responsable en détail,Question
Je voudrais me montrer la structure en détail,Structure
Peux-tu identifier les visuels sans oublier les points clés,Image
J'aimerais bien indiquer l'auteur avec précision,Question
Est-ce que tu peux extraire les figures en détail,Image
Est-ce que tu peux donner les descriptions d'image sans oublier les points clés,Image
Je souhaite imprimer le fichier de façon synthétique,Autre
Donne-moi indiquer le plan en quelques mots,Structure
Peux-tu lister les sections s'il te plaît,Structure
Merci de me faire un résumé,Résumé
Je souhaite récapituler le document,Résumé
Est-ce possible de me dire l'objectif en quelques mots,Question
Peux-tu extraire les figures s'il te plaît,Image
Est-ce que tu peux me dire qui est le responsable en détail,Question
J'aimerais bien télécharger le document en quelques mots,Autre
Donne-moi expliquer les résultats avec précision,Question
J'aimerais bien extraire les points clés brièvement,Résumé
Merci de me donner le chiffre d'affaires clairement,Valeur
Pourrais-tu présenter l'organisation en quelques mots,Structure
Est-ce possible de fournir les dépenses totales,Valeur
Est-ce que tu peux extraire les points clés brièvement,Résumé
Pourrais-tu donner un aperçu général brièvement,Résumé
Est-ce possible de imprimer le fichier brièvement,Autre
Peux-tu me dire l'objectif brièvement,Question
Pourrais-tu me montrer la structure en quelques mots,Structure
Pourrais-tu lister les graphiques en détail,Image
Serait-il possible de montrer le budget clairement,Valeur
Serait-il possible de synthétiser le contenu,Résumé
Je voudrais télécharger le document rapidement,Autre
Merci de indiquer le plan sans oublier les points clés,Structure
Merci de partager par mail rapidement,Autre
Serait-il possible de donner la date du document rapidement,Question
Merci de répondre à la question sur le projet clairement,Question
Est-ce que tu peux indiquer l'auteur avec précision,Question
J'aimerais bien télécharger le document en quelques mots,Autre
Est-ce que tu peux me montrer la structure brièvement,Structure
Merci de afficher les éléments visuels en quelques mots,Image
Merci de traduire le texte clairement,Autre
Peux-tu afficher les valeurs financières rapidement,Valeur
Peux-tu présenter l'organisation,Structure
Je voudrais expliquer la structure du document en quelques mots,Structure
Je souhaite lister les sections avec précision,Structure
Est-ce possible de montrer le budget en quelques mots,Valeur
Merci de donner les descriptions d'image en quelques mots,Image
Peux-tu afficher les valeurs financières en quelques mots,Valeur
Pourrais-tu présenter l'organisation de façon synthétique,Structure
Est-ce possible de indiquer les montants rapidement,Valeur
Serait-il possible de donner les descriptions d'image en détail,Image
Pourrais-tu convertir ce fichier clairement,Autre
Est-ce que tu peux extraire les points clés s'il te plaît,Résumé
J'aimerais bien extraire les points clés avec précision,Résumé
Est-ce possible de donner la table des matières en quelques mots,Structure
J'aimerais bien me faire un résumé de façon synthétique,Résumé
Serait-il possible de indiquer le plan avec précision,Structure
Peux-tu afficher les éléments visuels brièvement,Image
Est-ce que tu peux identifier les visuels de façon synthétique,Image
Peux-tu afficher les valeurs financières sans oublier les points clés,Valeur
Je voudrais partager par mail de façon synthétique,Autre
Est-ce possible de présenter l'organisation avec précision,Structure
Merci de me donner le chiffre d'affaires clairement,Valeur
Est-ce possible de afficher les valeurs financières de façon synthétique,Valeur
J'aimerais bien lister les sections avec précision,Structure
Serait-il possible de expliquer la structure du document avec précision,Structure
Je voudrais récapituler le document en détail,Résumé
Donne-moi donner la date du document avec précision,Question
Je souhaite récapituler le document en quelques mots,Résumé
Merci de indiquer le plan avec précision,Structure
Est-ce possible de indiquer l'auteur s'il te plaît,Question
J'aimerais bien ouvrir dans word rapidement,Autre
Donne-moi convertir ce fichier sans oublier les points clés,Autre
Peux-tu récapituler le document sans oublier les points clés,Résumé
Je voudrais répondre à la question sur le projet avec précision,Question
Merci de me dire l'objectif en quelques mots,Question
Donne-moi me faire un résumé en détail,Résumé
Est-ce possible de ouvrir dans word en détail,Autre
Serait-il possible de synthétiser le contenu clairement,Résumé
Peux-tu donner la date du document de façon synthétique,Question
J'aimerais bien me dire qui est le responsable,Question
Merci de fournir les dépenses totales en détail,Valeur
Est-ce possible de donner les chiffres importants de façon synthétique,Valeur
Pourrais-tu télécharger le document de façon synthétique,Autre
Je souhaite résumer ce document sans oublier les points clés,Résumé
Merci de donner un aperçu général sans oublier les points clés,Résumé
Merci de donner la table des matières en détail,Structure
Est-ce possible de extraire les points clés en détail,Résumé
J'aimerais bien donner un aperçu général,Résumé
Pourrais-tu traduire le texte brièvement,Autre
Est-ce que tu peux me donner le chiffre d'affaires rapidement,Valeur
Je voudrais indiquer le plan brièvement,Structure
Je souhaite récapituler le document en quelques mots,Résumé
Merci de donner un aperçu général rapidement,Résumé
Pourrais-tu donner la table des matières de façon synthétique,Structure
Est-ce que tu peux partager par mail s'il te plaît,Autre
Je souhaite extraire les points clés de façon synthétique,Résumé
Je voudrais ouvrir dans word en détail,Autre
Merci de me donner le chiffre d'affaires sans oublier les points clés,Valeur
Pourrais-tu donner un aperçu général brièvement,Résumé
Pourrais-tu partager par mail rapidement,Autre
Je souhaite imprimer le fichier s'il te plaît,Autre
Merci de expliquer les résultats rapidement,Question
Pourrais-tu montrer le budget de façon synthétique,Valeur
Est-ce possible de présenter l'organisation brièvement,Structure
Serait-il possible de extraire les points clés clairement,Résumé
Est-ce possible de récapituler le document de façon synthétique,Résumé
Pourrais-tu me montrer la structure en quelques mots,Structure
Peux-tu donner la table des matières rapidement,Structure
Donne-moi ouvrir dans word brièvement,Autre
Est-ce que tu peux montrer le budget s'il te plaît,Valeur
Je voudrais me dire qui est le responsable s'il te plaît,Question
Je voudrais traduire le texte en détail,Autre
Donne-moi lister les graphiques rapidement,Image
Je souhaite imprimer le fichier sans oublier les points clés,Autre
Est-ce possible de extraire les figures clairement,Image
Donne-moi afficher les éléments visuels rapidement,Image
Est-ce que tu peux donner les descriptions d'image de façon synthétique,Image
Peux-tu extraire les points clés avec précision,Résumé
Est-ce possible de montrer le budget,Valeur
J'aimerais bien afficher les éléments visuels en quelques mots,Image
Merci de donner la table des matières clairement,Structure
Est-ce que tu peux donner les descriptions d'image de façon synthétique,Image
Peux-tu résumer ce document,Résumé
Est-ce possible de résumer ce document rapidement,Résumé
Serait-il possible de résumer ce document de façon synthétique,Résumé
Est-ce possible de me donner le chiffre d'affaires de façon synthétique,Valeur
Serait-il possible de présenter l'organisation rapidement,Structure
Pourrais-tu lister les sections s'il te plaît,Structure
J'aimerais bien répondre à la question sur le projet s'il te plaît,Question
J'aimerais bien partager par mail brièvement,Autre
Est-ce possible de imprimer le fichier rapidement,Autre
Peux-tu ouvrir dans word rapidement,Autre
Pourrais-tu me montrer la structure brièvement,Structure
J'aimerais bien expliquer la structure du document en quelques mots,Structure
Je souhaite me dire l'objectif s'il te plaît,Question
Serait-il possible de récapituler le document sans oublier les points clés,Résumé
Je souhaite indiquer les montants clairement,Valeur
J'aimerais bien donner les descriptions d'image de façon synthétique,Image
J'aimerais bien me montrer la structure de façon synthétique,Structure
Est-ce que tu peux donner la table des matières rapidement,Structure
Serait-il possible de fournir les dépenses totales clairement,Valeur
Est-ce que tu peux me faire un résumé s'il te plaît,Résumé
Serait-il possible de extraire les figures,Image
Merci de afficher les valeurs financières en quelques mots,Valeur
Peux-tu donner la table des matières en quelques mots,Structure
Donne-moi partager par mail,Autre
J'aimerais bien synthétiser le contenu rapidement,Résumé
Pourrais-tu identifier les visuels de façon synthétique,Image
Est-ce possible de indiquer les montants sans oublier les points clés,Valeur
Peux-tu partager par mail en quelques mots,Autre
Pourrais-tu me dire l'objectif clairement,Question
Est-ce possible de imprimer le fichier brièvement,Autre
Je voudrais extraire les figures s'il te plaît,Image
J'aimerais bien répondre à la question sur le projet en quelques mots,Question
Donne-moi afficher les éléments visuels,Image
J'aimerais bien expliquer les résultats sans oublier les points clés,Question
Est-ce possible de extraire les figures,Image
Est-ce possible de synthétiser le contenu sans oublier les points clés,Résumé
Donne-moi indiquer les montants de façon synthétique,Valeur
Est-ce que tu peux traduire le texte en quelques mots,Autre
Peux-tu ouvrir dans word sans oublier les points clés,Autre
Serait-il possible de convertir ce fichier de façon synthétique,Autre
Est-ce possible de expliquer les résultats brièvement,Question
Serait-il possible de expliquer la structure du document sans oublier les points clés,Structure
Donne-moi résumer ce document en détail,Résumé
Donne-moi donner la table des matières en détail,Structure
Je voudrais répondre à la question sur le projet en détail,Question
Serait-il possible de afficher les valeurs financières sans oublier les points clés,Valeur
Est-ce que tu peux donner la table des matières brièvement,Structure
Pourrais-tu synthétiser le contenu sans oublier les points clés,Résumé
Merci de donner la table des matières brièvement,Structure
Donne-moi ouvrir dans word en quelques mots,Autre
Peux-tu lister les graphiques brièvement,Image
Est-ce possible de identifier les visuels avec précision,Image
Serait-il possible de indiquer l'auteur s'il te plaît,Question
Donne-moi convertir ce fichier de façon synthétique,Autre
Merci de donner la table des matières,Structure
Peux-tu me dire qui est le responsable sans oublier les points clés,Question
Donne-moi afficher les éléments visuels sans oublier les points clés,Image
Est-ce possible de récapituler le document s'il te plaît,Résumé
Est-ce que tu peux me montrer la structure en détail,Structure
Serait-il possible de me montrer les images en quelques mots,Image
Est-ce possible de extraire les figures de façon synthétique,Image
Pourrais-tu me montrer la structure clairement,Structure
Serait-il possible de indiquer le plan brièvement,Structure
Merci de récapituler le document de façon synthétique,Résumé
Est-ce que tu peux indiquer les montants brièvement,Valeur
Est-ce que tu peux convertir ce fichier de façon synthétique,Autre
Je souhaite répondre à la question sur le projet en détail,Question
Merci de donner les chiffres importants rapidement,Valeur
Je souhaite identifier les visuels sans oublier les points clés,Image
Peux-tu indiquer les montants clairement,Valeur
Donne-moi donner les chiffres importants en quelques mots,Valeur
Peux-tu résumer ce document,Résumé
Merci de extraire les points clés brièvement,Résumé
Pourrais-tu extraire les points clés clairement,Résumé
Donne-moi donner les descriptions d'image s'il te plaît,Image
Serait-il possible de me dire qui est le responsable rapidement,Question
Je souhaite indiquer l'auteur sans oublier les points clés,Question
Est-ce possible de donner la date du document en détail,Question
Je souhaite afficher les éléments visuels rapidement,Image
Peux-tu synthétiser le contenu s'il te plaît,Résumé
Je souhaite donner la table des matières s'il te plaît,Structure
Donne-moi ouvrir dans word en quelques mots,Autre
Est-ce possible de imprimer le fichier,Autre
Pourrais-tu me faire un résumé sans oublier les points clés,Résumé
Serait-il possible de me dire qui est le responsable,Question
Peux-tu donner la date du document en quelques mots,Question
Je voudrais extraire les points clés sans oublier les points clés,Résumé
Est-ce possible de montrer le budget brièvement,Valeur
Merci de expliquer les résultats,Question
Merci de présenter l'organisation clairement,Structure
Est-ce que tu peux lister les graphiques sans oublier les points clés,Image
Je souhaite donner la date du document avec précision,Question
Pourrais-tu partager par mail en détail,Autre
Est-ce possible de lister les graphiques rapidement,Image
Peux-tu donner la table des matières clairement,Structure
Je souhaite fournir les dépenses totales en détail,Valeur
Pourrais-tu identifier les visuels clairement,Image
Est-ce que tu peux traduire le texte brièvement,Autre
Est-ce que tu peux me montrer la structure brièvement,Structure
Donne-moi afficher les éléments visuels avec précision,Image
Pourrais-tu traduire le texte rapidement,Autre
J'aimerais bien donner les descriptions d'image en quelques mots,Image
Pourrais-tu présenter l'organisation,Structure
Je souhaite lister les graphiques de façon synthétique,Image
Merci de présenter l'organisation avec précision,Structure
Merci de répondre à la question sur le projet de façon synthétique,Question
Merci de récapituler le document clairement,Résumé
Peux-tu présenter l'organisation en détail,Structure
Je voudrais indiquer les montants avec précision,Valeur
Est-ce que tu peux donner la date du document s'il te plaît,Question
Est-ce que tu peux télécharger le document en quelques mots,Autre
Serait-il possible de extraire les points clés de façon synthétique,Résumé
Est-ce possible de donner un aperçu général s'il te plaît,Résumé
Pourrais-tu extraire les points clés brièvement,Résumé
Pourrais-tu convertir ce fichier clairement,Autre
Est-ce que tu peux me dire qui est le responsable s'il te plaît,Question
Je voudrais donner les chiffres importants en quelques mots,Valeur
Pourrais-tu me faire un résumé de façon synthétique,Résumé
Peux-tu me montrer les images rapidement,Image
Est-ce possible de expliquer les résultats brièvement,Question
J'aimerais bien afficher les éléments visuels,Image
J'aimerais bien donner les descriptions d'image rapidement,Image
Serait-il possible de me dire l'objectif s'il te plaît,Question
Pourrais-tu résumer ce document sans oublier les points clés,Résumé
Peux-tu afficher les éléments visuels rapidement,Image
Merci de donner un aperçu général brièvement,Résumé
Donne-moi indiquer les montants de façon synthétique,Valeur
Donne-moi lister les sections en quelques mots,Structure
Donne-moi indiquer les montants clairement,Valeur
Je souhaite montrer le budget rapidement,Valeur
Peux-tu me faire un résumé en quelques mots,Résumé
Est-ce que tu peux récapituler le document brièvement,Résumé
Donne-moi afficher les éléments visuels brièvement,Image
Peux-tu expliquer les résultats,Question
Pourrais-tu identifier les visuels clairement,Image
Peux-tu me dire l'objectif en quelques mots,Question
Pourrais-tu imprimer le fichier clairement,Autre
Peux-tu me donner le chiffre d'affaires avec précision,Valeur
Peux-tu partager par mail sans oublier les points clés,Autre
Je voudrais répondre à la question sur le projet,Question
J'aimerais bien indiquer l'auteur,Question
Donne-moi me dire qui est le responsable brièvement,Question
Peux-tu afficher les éléments visuels en quelques mots,Image
Peux-tu me faire un résumé avec précision,Résumé
Est-ce possible de afficher les éléments visuels en détail,Image
J'aimerais bien me dire l'objectif de façon synthétique,Question
Est-ce possible de afficher les éléments visuels s'il te plaît,Image
J'aimerais bien imprimer le fichier clairement,Autre
Est-ce que tu peux indiquer l'auteur en détail,Question
Est-ce que tu peux afficher les valeurs financières,Valeur
Donne-moi me montrer les images brièvement,Image
Merci de donner les descriptions d'image clairement,Image
Merci de présenter l'organisation en quelques mots,Structure
Donne-moi donner les descriptions d'image avec précision,Image
J'aimerais bien me dire qui est le responsable sans oublier les points clés,Question
Est-ce que tu peux extraire les figures sans oublier les points clés,Image
Donne-moi me donner le chiffre d'affaires clairement,Valeur
J'aimerais bien donner les chiffres importants,Valeur
Est-ce possible de lister les sections avec précision,Structure
Peux-tu me dire l'objectif sans oublier les points clés,Question
Peux-tu me faire un résumé en quelques mots,Résumé
Est-ce que tu peux me montrer la structure en quelques mots,Structure
Donne-moi extraire les figures en quelques mots,Image
Peux-tu donner les descriptions d'image en quelques mots,Image
Je souhaite ouvrir dans word s'il te plaît,Autre
Est-ce possible de donner la date du document avec précision,Question
Est-ce possible de me montrer les images avec précision,Image
Peux-tu afficher les valeurs financières clairement,Valeur
Je voudrais fournir les dépenses totales s'il te plaît,Valeur
Serait-il possible de afficher les éléments visuels sans oublier les points clés,Image
J'aimerais bien synthétiser le contenu clairement,Résumé
Est-ce possible de donner la table des matières rapidement,Structure
J'aimerais bien traduire le texte clairement,Autre
Merci de synthétiser le contenu,Résumé
Est-ce que tu peux récapituler le document rapidement,Résumé
Peux-tu résumer ce document s'il te plaît,Résumé
Est-ce que tu peux indiquer l'auteur clairement,Question
Pourrais-tu afficher les éléments visuels,Image
Peux-tu expliquer la structure du document en détail,Structure
Donne-moi donner les descriptions d'image s'il te plaît,Image
J'aimerais bien donner les chiffres importants rapidement,Valeur
Je souhaite présenter l'organisation sans oublier les points clés,Structure
Pourrais-tu me montrer les images rapidement,Image
Je souhaite imprimer le fichier rapidement,Autre
Peux-tu donner la date du document en détail,Question
Je souhaite synthétiser le contenu en détail,Résumé
Je voudrais expliquer les résultats de façon synthétique,Question
Donne-moi me montrer la structure,Structure
Je voudrais donner la table des matières,Structure
Serait-il possible de donner la date du document rapidement,Question
Donne-moi donner un aperçu général rapidement,Résumé
Merci de ouvrir dans word en détail,Autre
Serait-il possible de me dire qui est le responsable sans oublier les points clés,Question
Est-ce que tu peux donner la date du document sans oublier les points clés,Question
Peux-tu répondre à la question sur le projet rapidement,Question
Est-ce que tu peux lister les sections rapidement,Structure
Est-ce possible de identifier les visuels rapidement,Image
Je souhaite récapituler le document s'il te plaît,Résumé
Donne-moi me faire un résumé avec précision,Résumé
Je voudrais convertir ce fichier brièvement,Autre
Est-ce que tu peux convertir ce fichier en quelques mots,Autre
Est-ce possible de me faire un résumé de façon synthétique,Résumé
Pourrais-tu indiquer l'auteur s'il te plaît,Question
Pourrais-tu me montrer les images sans oublier les points clés,Image
Peux-tu identifier les visuels de façon synthétique,Image
Je voudrais imprimer le fichier en détail,Autre
Donne-moi lister les sections de façon synthétique,Structure
Pourrais-tu répondre à la question sur le projet avec précision,Question
Je souhaite résumer ce document en détail,Résumé
J'aimerais bien indiquer l'auteur clairement,Question
Je voudrais imprimer le fichier en quelques mots,Autre
Peux-tu expliquer les résultats en détail,Question
Je voudrais expliquer les résultats clairement,Question
Serait-il possible de me faire un résumé sans oublier les points clés,Résumé
Est-ce possible de me donner le chiffre d'affaires rapidement,Valeur
Je voudrais me dire qui est le responsable s'il te plaît,Question
Est-ce possible de me montrer la structure en quelques mots,Structure
Est-ce possible de répondre à la question sur le projet,Question
Je souhaite convertir ce fichier brièvement,Autre
Est-ce que tu peux répondre à la question sur le projet avec précision,Question
Pourrais-tu afficher les éléments visuels rapidement,Image
Est-ce possible de résumer ce document,Résumé
Serait-il possible de identifier les visuels avec précision,Image
Pourrais-tu afficher les éléments visuels clairement,Image
Je souhaite me faire un résumé de façon synthétique,Résumé
Serait-il possible de indiquer l'auteur de façon synthétique,Question
J'aimerais bien ouvrir dans word brièvement,Autre
Est-ce possible de récapituler le document s'il te plaît,Résumé
Merci de extraire les points clés s'il te plaît,Résumé
Serait-il possible de télécharger le document en détail,Autre
Peux-tu fournir les dépenses totales rapidement,Valeur
Je souhaite donner la date du document avec précision,Question
Pourrais-tu me dire qui est le responsable brièvement,Question
Pourrais-tu afficher les valeurs financières en détail,Valeur
J'aimerais bien donner les descriptions d'image,Image
Serait-il possible de lister les sections,Structure
J'aimerais bien expliquer la structure du document s'il te plaît,Structure
Merci de extraire les figures rapidement,Image
Est-ce possible de me montrer les images sans oublier les points clés,Image
Donne-moi afficher les éléments visuels s'il te plaît,Image
Peux-tu montrer le budget en détail,Valeur
Serait-il possible de me dire l'objectif s'il te plaît,Question
Est-ce possible de me donner le chiffre d'affaires,Valeur
Serait-il possible de afficher les éléments visuels clairement,Image
Est-ce possible de lister les sections,Structure
Je souhaite lister les sections brièvement,Structure
Serait-il possible de donner les descriptions d'image,Image
Donne-moi expliquer la structure du document en détail,Structure
Je souhaite synthétiser le contenu sans oublier les points clés,Résumé
J'aimerais bien me montrer la structure clairement,Structure
Est-ce que tu peux me faire un résumé sans oublier les points clés,Résumé
Merci de résumer ce document en détail,Résumé
Serait-il possible de récapituler le document de façon synthétique,Résumé
Pourrais-tu récapituler le document,Résumé
J'aimerais bien fournir les dépenses totales avec précision,Valeur
Donne-moi imprimer le fichier en quelques mots,Autre
Donne-moi indiquer les montants en détail,Valeur
Donne-moi afficher les valeurs financières avec précision,Valeur
Est-ce possible de identifier les visuels avec précision,Image
Est-ce que tu peux synthétiser le contenu en détail,Résumé
Je voudrais expliquer les résultats s'il te plaît,Question
J'aimerais bien me dire qui est le responsable de façon synthétique,Question
Est-ce possible de répondre à la question sur le projet,Question
Peux-tu lister les sections sans oublier les points clés,Structure
Je souhaite me dire l'objectif de façon synthétique,Question
Pourrais-tu me montrer la structure avec précision,Structure
Je souhaite télécharger le document sans oublier les points clés,Autre
Serait-il possible de me donner le chiffre d'affaires de façon synthétique,Valeur
Serait-il possible de indiquer le plan clairement,Structure
Pourrais-tu indiquer les montants s'il te plaît,Valeur
Merci de donner la table des matières rapidement,Structure
Est-ce que tu peux fournir les dépenses totales s'il te plaît,Valeur
Est-ce que tu peux donner la table des matières sans oublier les points clés,Structure
Peux-tu partager par mail s'il te plaît,Autre
Merci de donner un aperçu général en quelques mots,Résumé
J'aimerais bien lister les sections clairement,Structure
Est-ce que tu peux me montrer la structure sans oublier les points clés,Structure
Serait-il possible de donner la date du document rapidement,Question
Je voudrais donner les descriptions d'image avec précision,Image
Donne-moi indiquer le plan en quelques mots,Structure
Serait-il possible de afficher les éléments visuels avec précision,Image
Peux-tu donner la table des matières brièvement,Structure
Pourrais-tu répondre à la question sur le projet en détail,Question
Est-ce possible de synthétiser le contenu brièvement,Résumé
J'aimerais bien donner les chiffres importants en détail,Valeur
Peux-tu convertir ce fichier sans oublier les points clés,Autre
Est-ce possible de me dire qui est le responsable clairement,Question
Pourrais-tu donner un aperçu général en détail,Résumé
Peux-tu résumer ce document clairement,Résumé
J'aimerais bien donner la table des matières,Structure
Je souhaite ouvrir dans word avec précision,Autre
Serait-il possible de donner les chiffres importants avec précision,Valeur
J'aimerais bien montrer le budget en détail,Valeur
Est-ce que tu peux afficher les éléments visuels en détail,Image
Est-ce que tu peux télécharger le document en détail,Autre
Je voudrais partager par mail avec précision,Autre
Donne-moi me faire un résumé de façon synthétique,Résumé
Merci de montrer le budget en détail,Valeur
Est-ce que tu peux synthétiser le contenu sans oublier les points clés,Résumé
Je voudrais me faire un résumé brièvement,Résumé
Je voudrais me faire un résumé en quelques mots,Résumé
Donne-moi afficher les éléments visuels,Image
Je voudrais récapituler le document rapidement,Résumé
Donne-moi me dire l'objectif,Question
Est-ce possible de imprimer le fichier s'il te plaît,Autre
Donne-moi me donner le chiffre d'affaires rapidement,Valeur
Est-ce possible de me faire un résumé en détail,Résumé
Je voudrais expliquer les résultats clairement,Question
Je souhaite télécharger le document s'il te plaît,Autre
Donne-moi indiquer les montants en détail,Valeur
Est-ce possible de télécharger le document clairement,Autre
J'aimerais bien extraire les figures en détail,Image
Peux-tu extraire les points clés avec précision,Résumé
Pourrais-tu extraire les points clés en quelques mots,Résumé
Je souhaite ouvrir dans word,Autre
Est-ce que tu peux fournir les dépenses totales,Valeur
Peux-tu expliquer la structure du document rapidement,Structure
Pourrais-tu répondre à la question sur le projet sans oublier les points clés,Question
Est-ce que tu peux me faire un résumé brièvement,Résumé
J'aimerais bien me montrer la structure avec précision,Structure
Peux-tu me montrer les images s'il te plaît,Image
Je souhaite me donner le chiffre d'affaires rapidement,Valeur
Peux-tu me montrer la structure de façon synthétique,Structure
Je souhaite traduire le texte en détail,Autre
Je voudrais expliquer les résultats sans oublier les points clés,Question
Donne-moi indiquer l'auteur de façon synthétique,Question
J'aimerais bien récapituler le document brièvement,Résumé
Serait-il possible de donner la table des matières de façon synthétique,Structure
